Common Name,Scientific Name,Where_Found,Family,Family Common Name,Duration,Growth Habit,Active Growth Period,Flower Color,Foliage Color,Growth Form,Growth Rate,"Height, Mature (feet)",Low Growing Grass,Shape and Orientation,Toxicity,Drought Tolerance,Shade Tolerance,Bloom Period,Bare Root,Bulbs,Container,Corms,Cuttings,Seed,Sod,Sprigs,Tubers,Palatable Human
sugarcane,Saccharum officinarum,"USA+(PR, VI), USA(AL, FL, LA, MS, PW, TX)",Poaceae,Grass family,Perennial,Graminoid,Spring and Summer,White,Green,Bunch,Rapid,12,Yes,Semi-Erect,None,High,Intermediate,Late Winter,No,No,No,No,No,Yes,Yes,Yes,Yes,No
arctic pearlwort,Sagina saginoides,"CAN(AB, BC, LB, NF, NT, NU, QC, YT), DEN(GL), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY)",Caryophyllaceae,Pink family,"Biennial, Perennial",Forb/herb,Spring and Summer,White,Green,Single Crown,Moderate,0.3,No,Prostrate,None,None,Intermediate,Early Spring,No,No,No,No,No,Yes,No,No,No,No
delta arrowhead,Sagittaria platyphylla,"USA(AL, AR, FL, GA, IL, KS, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV)",Alismataceae,Water-plantain family,Perennial,Forb/herb,Spring and Summer,White,Green,Single Crown,Rapid,3,No,Erect,None,None,Intolerant,Mid Summer,No,No,No,No,No,Yes,No,Yes,No,No
peachleaf willow,Salix amygdaloides,"CAN(AB, BC, MB, ON, QC, SK), USA(AZ, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY)",Salicaceae,Willow family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Rapid,60,No,Irregular,None,Low,Intolerant,Late Spring,Yes,No,Yes,No,Yes,No,No,No,No,No
Barclay's willow,Salix barclayi,"CAN(AB, BC, NT, YT), USA(AK, CO, ID, MT, WA, WY)",Salicaceae,Willow family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Rapid,15,No,Erect,None,Low,Intolerant,,Yes,No,Yes,No,Yes,No,No,No,No,No
pussy willow,Salix discolor,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA(CO, CT, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NY, OH, PA, RI, SD, VA, VT, WI, WV, WY)",Salicaceae,Willow family,Perennial,"Tree, Shrub",Spring,White,Green,Single Stem,Rapid,40,No,Erect,None,Low,Tolerant,Winter,Yes,No,Yes,No,Yes,Yes,No,No,No,No
dewystem willow,Salix irrorata,"USA(AZ, CO, NM, WY)",Salicaceae,Willow family,Perennial,Shrub,,White,Green,Thicket Forming,,6,No,Erect,Slight,Medium,,Early Spring,No,No,No,No,Yes,No,No,No,No,No
park willow,Salix monticola,"USA(AZ, CO, NM, UT, WY)",Salicaceae,Willow family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Thicket Forming,Moderate,12,No,Erect,None,Medium,Intolerant,Late Spring,No,No,Yes,No,Yes,Yes,No,Yes,No,No
MacKenzie's willow,Salix prolixa,"CAN(AB, BC, NT, YT), USA(AK, CA, ID, MT, NV, OR, UT, WA, WY)",Salicaceae,Willow family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Single Crown,Moderate,45,No,Semi-Erect,None,Medium,Intolerant,Early Spring,No,No,Yes,No,Yes,Yes,No,Yes,No,No
Richardson's willow,Salix richardsonii,"CAN(BC, MB, NT, NU, YT), USA(AK)",Salicaceae,Willow family,Perennial,"Shrub, Tree",Spring and Summer,White,Green,Thicket Forming,Slow,15,No,Erect,None,Medium,Intolerant,Early Summer,No,No,Yes,No,Yes,Yes,No,Yes,No,No
American black elderberry,Sambucus nigra ssp. canadensis,"CAN(MB, NB, NS, ON, PE, QC), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, PW, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Rapid,7,No,Erect,None,Medium,Intolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,Yes
blue elderberry,Sambucus nigra ssp. cerulea,"CAN(BC), USA(AZ, CA, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Rapid,23,No,Erect,Moderate,High,Intermediate,Spring,Yes,No,Yes,No,No,Yes,No,No,No,Yes
red elderberry,Sambucus racemosa var. racemosa,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK, YT), USA(AK, AZ, CA, CO, CT, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Shrub, Tree",Spring and Summer,White,Green,Multiple Stem,Moderate,18,No,Erect,None,Low,Intermediate,Mid Summer,Yes,No,Yes,No,No,Yes,No,No,No,Yes
western soapberry,Sapindus saponaria var. drummondii,"USA(AR, AZ, CO, KS, LA, MO, NM, OK, TX)",Sapindaceae,Soapberry family,Perennial,"Tree, Shrub",Summer,White,Green,Single Stem,Moderate,20,No,Erect,Moderate,High,Intolerant,Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
beach naupaka,Scaevola sericea,"USA(FL, HI, PW, UM)",Goodeniaceae,Goodenia family,Perennial,Shrub,Year Round,White,Green,Single Stem,Moderate,10,No,Semi-Erect,None,High,Intermediate,Indeterminate,Yes,No,Yes,No,Yes,Yes,No,No,No,No
panicled bulrush,Scirpus microcarpus,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, IA, ID, IL, KY, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OR, PA, RI, SD, UT, VT, WA, WI, WV, WY)",Cyperaceae,Sedge family,Perennial,Graminoid,"Spring, Summer, Fall",White,Green,Rhizomatous,Rapid,5.5,No,Erect,None,None,Intolerant,Late Spring,Yes,No,Yes,No,No,Yes,No,Yes,No,No
vegetable hummingbird,Sesbania grandiflora,"USA+(PR, VI), USA(FL, PW, UM)",Fabaceae,Pea family,Perennial,"Shrub, Tree",Year Round,White,Green,Single Stem,Rapid,20,No,Erect,None,High,Intermediate,Spring,Yes,No,Yes,No,No,Yes,No,No,No,Yes
foxtail millet,Setaria italica,"CAN(AB, BC, MB, NB, NS, ON, QC), USA+(VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY)",Poaceae,Grass family,Annual,Graminoid,Spring and Summer,White,Green,Bunch,Rapid,5,No,Erect,None,Low,Intolerant,Summer,No,No,No,No,No,Yes,No,No,No,No
yellow foxtail,Setaria pumila,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Poaceae,Grass family,Annual,Graminoid,Spring and Summer,White,Green,Bunch,Rapid,3,No,Erect,None,Low,Intolerant,Summer,No,No,No,No,No,Yes,No,No,No,No
buckthorn bully,Sideroxylon lycioides,"USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, SC, TN, TX, VA, WV)",Sapotaceae,Sapodilla family,Perennial,"Tree, Shrub","Spring, Summer, Fall",White,Green,Single Crown,Rapid,9.8,No,Rounded,Severe,High,Tolerant,Early Summer,No,No,No,No,No,Yes,No,No,No,Yes
Florida bully,Sideroxylon reclinatum ssp. reclinatum,"USA(AL, FL, GA, LA, MS, SC)",Sapotaceae,Sapodilla family,Perennial,Shrub,,White,Green,,,2,No,,,None,,Late Spring,No,No,Yes,No,No,No,No,No,No,No
roundleaf greenbrier,Smilax rotundifolia,"CAN(NS, ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WV)",Smilacaceae,Catbrier family,Perennial,"Vine, Shrub",Summer,White,Green,Single Crown,Slow,1,No,Climbing,None,Medium,Intolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
American mountain ash,Sorbus americana,"CAN(NB, NF, NS, ON, PE, QC), FRA(SB), USA(CT, GA, IL, MA, MD, ME, MI, MN, NC, NH, NJ, NY, PA, RI, SC, TN, VA, VT, WI, WV)",Rosaceae,Rose family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Single Stem,Moderate,40,No,Erect,None,Low,Intermediate,Early Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
European mountain ash,Sorbus aucuparia,"CAN(AB, BC, LB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AK, CA, CO, CT, DC, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NY, OH, OR, PA, RI, SC, UT, VT, WA, WI, WV, WY)",Rosaceae,Rose family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Single Stem,Rapid,40,No,Erect,None,Low,Intermediate,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Greene's mountain ash,Sorbus scopulina,"CAN(AB, BC, NT, SK, YT), USA(AK, AZ, CA, CO, ID, MT, ND, NM, NV, OR, SD, UT, WA, WY)",Rosaceae,Rose family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Moderate,12,No,Erect,None,None,Intermediate,Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
white meadowsweet,Spiraea alba,"CAN(AB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WI, WV)",Rosaceae,Rose family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Moderate,3,No,Semi-Erect,None,Low,Intermediate,Late Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
white spirea,Spiraea betulifolia,"USA(ID, MN, MT, NC, OR)",Rosaceae,Rose family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Moderate,3,No,Erect,None,Low,Tolerant,Early Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
bridalwreath spirea,Spiraea prunifolia,"CAN(NS, ON), USA(AL, AR, CT, DC, DE, GA, IL, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, PA, TN, VA)",Rosaceae,Rose family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Rapid,7,No,Semi-Erect,None,Low,Intolerant,Mid Spring,Yes,No,Yes,No,Yes,No,No,No,No,No
Asian meadowsweet,Spiraea trilobata,"USA(CO, NY)",Rosaceae,Rose family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Moderate,4,No,Semi-Erect,None,Medium,Intermediate,Early Summer,Yes,No,Yes,No,Yes,No,No,No,No,No
nodding lady's tresses,Spiranthes cernua,"CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Orchidaceae,Orchid family,Perennial,Forb/herb,Spring and Summer,White,Green,Single Crown,Moderate,1.5,No,Erect,None,None,Intolerant,Late Summer,No,No,No,No,No,Yes,No,No,Yes,No
hooded lady's tresses,Spiranthes romanzoffiana,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY)",Orchidaceae,Orchid family,Perennial,Forb/herb,Summer,White,Green,Single Crown,Moderate,2.5,No,Erect,None,None,Intermediate,Mid Summer,No,No,No,No,No,Yes,No,No,No,No
longstalk starwort,Stellaria longipes,"CAN(AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT), DEN(GL), USA(AK, AZ, CA, CO, ID, MD, ME, MI, MN, MT, ND, NM, NV, NY, OR, SD, UT, WA, WI, WY)",Caryophyllaceae,Pink family,Perennial,Forb/herb,Spring,White,Green,Rhizomatous,Moderate,0.9,No,Semi-Erect,None,Low,Intermediate,Mid Spring,Yes,No,No,No,No,Yes,No,No,No,No
shiny chickweed,Stellaria nitens,"CAN(AB, BC), USA(AZ, CA, ID, MT, NM, OR, UT, WA)",Caryophyllaceae,Pink family,Annual,Forb/herb,Spring,White,Green,Single Crown,Rapid,0.8,No,Erect,None,Low,Tolerant,Winter,No,No,No,No,No,Yes,No,No,No,No
umbrella starwort,Stellaria umbellata,"CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Caryophyllaceae,Pink family,Perennial,Forb/herb,Spring and Summer,White,Green,Rhizomatous,Moderate,1,No,Semi-Erect,None,None,Tolerant,Summer,No,No,No,No,No,Yes,No,Yes,No,No
American snowbell,Styrax americanus,"USA(AL, AR, DC, FL, GA, IL, IN, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA)",Styracaceae,Storax family,Perennial,"Tree, Shrub",,White,Green,,,10,No,,None,Low,Intermediate,Spring,No,No,No,No,Yes,No,No,No,No,No
bigleaf snowbell,Styrax grandifolius,"USA(AL, AR, FL, GA, IL, IN, KY, LA, MS, NC, OH, SC, TN, TX, VA)",Styracaceae,Storax family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Rhizomatous,Slow,10,No,Erect,None,,Intermediate,Spring,No,No,No,No,Yes,No,No,No,No,No
common snowberry,Symphoricarpos albus,"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA(AK, CA, CO, CT, DC, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Subshrub, Shrub",Spring and Summer,White,Green,Rhizomatous,Moderate,3,No,Rounded,Slight,High,Intolerant,Early Summer,Yes,No,Yes,No,No,No,No,No,No,No
western snowberry,Symphoricarpos occidentalis,"CAN(AB, BC, MB, NT, ON, QC, SK), USA(CO, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, ND, NE, NM, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY)",Caprifoliaceae,Honeysuckle family,Perennial,Shrub,Spring,White,Green,Thicket Forming,Moderate,3,No,Semi-Erect,None,High,Intermediate,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
coralberry,Symphoricarpos orbiculatus,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV)",Caprifoliaceae,Honeysuckle family,Perennial,Shrub,Spring and Summer,White,Green,Rhizomatous,Moderate,2,No,Erect,None,Medium,Intermediate,Mid Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
mountain snowberry,Symphoricarpos oreophilus,"CAN(BC), USA(AZ, CA, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY)",Caprifoliaceae,Honeysuckle family,Perennial,Shrub,Spring and Summer,White,Green,Rhizomatous,Moderate,5,No,Decumbent,None,High,Intermediate,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
white panicle aster,Symphyotrichum lanceolatum ssp. lanceolatum var. hirsuticaule,"CAN(MB, ON), USA(IA, IL, IN, MA, MI, MN, OH, WI)",Asteraceae,Aster family,Perennial,Forb/herb,Spring and Summer,White,Green,Rhizomatous,Slow,6,No,Semi-Erect,None,Low,Intermediate,Late Summer,Yes,No,Yes,No,No,Yes,No,Yes,No,No
calico aster,Symphyotrichum lateriflorum var. lateriflorum,"CAN(BC, MB, NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Asteraceae,Aster family,Perennial,Forb/herb,"Spring, Summer, Fall",White,Green,Rhizomatous,Moderate,5,No,Semi-Erect,None,Low,Intolerant,Summer,Yes,No,No,No,Yes,Yes,No,Yes,No,No
white cedar,Tabebuia heterophylla,"USA+(PR, VI), USA(FL, PW)",Bignoniaceae,Trumpet-creeper family,Perennial,"Tree, Shrub","Spring, Summer, Fall",White,Green,Single Stem,Rapid,60,No,Erect,None,Low,Intolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
tropical almond,Terminalia catappa,"USA+(PR, VI), USA(FL, HI, PW, UM)",Combretaceae,Indian Almond family,Perennial,"Tree, Shrub",Year Round,White,Green,Single Stem,Moderate,45,No,Erect,None,Medium,Intermediate,Indeterminate,Yes,No,Yes,No,No,Yes,No,No,No,Yes
Kura clover,Trifolium ambiguum,USA(OH),Fabaceae,Pea family,Perennial,Forb/herb,Spring and Summer,White,Green,Rhizomatous,Slow,1,No,Prostrate,None,Low,Intolerant,Spring,No,No,No,No,No,Yes,No,No,No,No
alsike clover,Trifolium hybridum,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Fabaceae,Pea family,"Annual, Perennial",Forb/herb,Spring and Summer,White,Green,Single Crown,Rapid,2,No,Semi-Erect,Slight,Low,Intolerant,Late Spring,No,No,No,No,No,Yes,No,No,No,No
white clover,Trifolium repens,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Fabaceae,Pea family,Perennial,Forb/herb,Year Round,White,Green,Stoloniferous,Moderate,2,No,Prostrate,None,Medium,Intermediate,Indeterminate,No,No,No,No,No,Yes,No,Yes,No,No
arrowleaf clover,Trifolium vesiculosum,"USA(AL, AR, CA, FL, GA, LA, MS, OK, OR, SC, TX, VA, WA)",Fabaceae,Pea family,Annual,Forb/herb,Year Round,White,Green,Single Crown,Rapid,3.5,No,Semi-Erect,Slight,Low,Intolerant,Late Spring,No,No,No,No,No,Yes,No,No,No,No
browntop millet,Urochloa ramosa,"USA(AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, TX, VA)",Poaceae,Grass family,"Annual, Perennial",Graminoid,Spring and Summer,White,Green,Bunch,Rapid,3,No,Erect,None,Low,Intolerant,Summer,No,No,No,No,No,Yes,No,No,No,No
lowbush blueberry,Vaccinium angustifolium,"CAN(LB, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(CT, DE, IA, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub",Spring and Summer,White,Green,Multiple Stem,Moderate,2,No,Erect,None,Medium,Intolerant,Early Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
highbush blueberry,Vaccinium corymbosum,"CAN(BC, NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Moderate,12,No,Erect,None,Low,Tolerant,Early Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
Elliott's blueberry,Vaccinium elliottii,"USA(AL, AR, FL, GA, LA, MS, NC, SC, TN, TX, VA)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Moderate,10,No,Erect,None,Low,Intermediate,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
California huckleberry,Vaccinium ovatum,"CAN(BC), USA(CA, OR, WA)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub",Spring and Summer,White,Green,Multiple Stem,Slow,8,No,Erect,None,Medium,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
red huckleberry,Vaccinium parvifolium,"CAN(BC), USA(AK, CA, OR, WA)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Slow,12,No,Erect,None,High,Tolerant,Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
deerberry,Vaccinium stamineum,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Moderate,16,No,Erect,None,High,Tolerant,Late Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
lingonberry,Vaccinium vitis-idaea,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, CT, MA, ME, MI, MN, NH, VT, WI)",Ericaceae,Heath family,Perennial,"Shrub, Subshrub",Spring,White,Green,Rhizomatous,Moderate,0.5,No,,None,Low,Intolerant,Summer,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes
western valerian,Valeriana occidentalis,"USA(AZ, CA, CO, ID, MT, NV, OR, SD, UT, WA, WY)",Valerianaceae,Valerian family,Perennial,Forb/herb,Spring and Summer,White,Green,Rhizomatous,Moderate,3,No,Semi-Erect,None,None,Intolerant,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
California false hellebore,Veratrum californicum,"USA(AZ, CA, ID, MT, NM, NV, OR, UT, WA, WY)",Liliaceae,Lily family,Perennial,Forb/herb,Spring and Summer,White,Green,Rhizomatous,Rapid,6,No,Erect,Severe,Low,Tolerant,Mid Spring,No,Yes,No,No,No,Yes,No,No,No,No
mapleleaf viburnum,Viburnum acerifolium,"CAN(NB, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Caprifoliaceae,Honeysuckle family,Perennial,"Shrub, Subshrub",Spring and Summer,White,Green,Multiple Stem,Slow,6,No,Erect,None,High,Tolerant,Indeterminate,Yes,No,Yes,No,No,Yes,No,No,No,No
squashberry,Viburnum edule,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), FRA(SB), USA(AK, CA, CO, ID, ME, MI, MN, MT, NH, NY, OR, PA, SD, VT, WA, WI, WY)",Caprifoliaceae,Honeysuckle family,Perennial,Shrub,Spring,White,Green,Thicket Forming,Rapid,2,No,Erect,Slight,Low,Tolerant,Late Spring,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
wayfaringtree,Viburnum lantana,"CAN(NB, ON, QC), USA(CO, CT, IA, IL, IN, KY, MA, MD, ME, MI, MT, NJ, NY, OH, PA, VA, VT, WA, WI, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Slow,9,No,Erect,None,None,Intolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
hobblebush,Viburnum lantanoides,"CAN(NB, NS, ON, PE, QC), USA(CT, GA, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WV)",Caprifoliaceae,Honeysuckle family,Perennial,Shrub,Spring and Summer,White,Green,Multiple Stem,Slow,10,No,Erect,None,Medium,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
nannyberry,Viburnum lentago,"CAN(MB, NB, ON, QC, SK), USA(AL, CO, CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NY, OH, PA, RI, SD, VA, VT, WI, WV, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Slow,28,No,Erect,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
withe-rod,Viburnum nudum var. cassinoides,"CAN(NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Caprifoliaceae,Honeysuckle family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Slow,15,No,Erect,None,Medium,Tolerant,Early Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
European cranberrybush,Viburnum opulus,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, TN, VA, VT, WA, WI, WV, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Slow,12,No,Erect,None,Medium,Tolerant,Late Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
American cranberrybush,Viburnum opulus var. americanum,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, ID, IL, IN, KY, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, VT, WA, WI, WV, WY)",Caprifoliaceae,Honeysuckle family,Perennial,"Shrub, Tree",Spring and Summer,White,Green,Multiple Stem,Slow,6,No,Erect,None,None,Intolerant,Late Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
blackhaw,Viburnum prunifolium,"USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)",Caprifoliaceae,Honeysuckle family,Perennial,"Tree, Shrub",Spring and Summer,White,Green,Multiple Stem,Slow,16,No,Erect,None,Medium,Tolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
